0,1,2,3,4,5
['/bg/1/28/'],"['/sb/5/18/12/', '/bg/1/28/']","['/bg/11/54/', '/bg/2/4/', '/bg/11/1/', '/bg/18/73/', '/bg/11/51/', '/bg/11/15/', '/sb/1/7/40/', '/sb/10/89/32/', '/bg/18/74/', '/sb/10/45/2/']","['/sb/1/7/40/', '/sb/10/89/32/', '/sb/10/5/24/', '/bg/11/1/', '/bg/11/15/', '/bg/11/51/', '/sb/11/16/7/', '/sb/10/89/46/', '/sb/1/14/1/', '/bg/9/19/']","['/bg/1/28/', '/sb/10/5/24/', '/sb/10/8/35/', '/sb/1/14/11/', '/sb/10/77/8/', '/sb/11/21/35/', '/sb/10/4/23/', '/sb/10/38/35/', '/sb/4/3/10/', '/bg/11/54/']","['/bg/1/28/', '/sb/3/31/21/', '/sb/3/31/19/', '/sb/4/20/16/', '/sb/11/7/16/', '/sb/7/5/45/', '/sb/3/4/14/', '/sb/1/9/33/', '/sb/10/6/3/', '/sb/7/6/24/']"
['/bg/1/41/'],"['/sb/11/5/41/', '/sb/11/5/41/', '/bg/1/41/']","['/sb/4/14/42/', '/bg/1/39/', '/sb/1/15/41/', '/sb/4/25/18/', '/sb/1/18/45/', '/sb/4/30/19/', '/sb/9/9/4/', '/sb/10/64/34/', '/sb/10/72/13/', '/sb/12/11/35/']","['/bg/1/42/', '/bg/1/39/', '/bg/3/24/', '/bg/1/40/', '/sb/3/12/50/', '/sb/10/64/43/', '/sb/12/2/7/', '/sb/4/14/42/', '/sb/4/18/18/', '/sb/3/9/34/']","['/bg/1/41/', '/bg/1/42/', '/sb/10/64/43/', '/sb/4/22/10/', '/sb/10/29/20/', '/sb/10/41/45/', '/sb/3/30/33/', '/sb/3/4/4/', '/bg/1/40/', '/sb/3/9/34/']","['/bg/1/41/', '/sb/12/3/9-13/', '/sb/7/3/22/', '/sb/8/17/21/', '/sb/1/2/9/', '/sb/10/2/32/', '/sb/9/13/4/', '/sb/7/4/1/', '/sb/1/15/9/', '/sb/1/15/36/']"
['/bg/2/2/'],"['/sb/1/2/11/', '/bs/5/1', '/sb/1/3/28/', '/sb/1/2/11/', '/bg/2/2/']","['/bg/9/1/', '/sb/11/16/6/', '/sb/12/9/2/', '/sb/10/72/28/', '/bg/11/5/', '/bg/10/1/', '/bg/11/52/', '/sb/10/27/15/', '/bg/10/19/', '/bg/10/12-13/']","['/sb/1/7/40/', '/sb/10/89/32/', '/bg/11/52/', '/sb/10/89/46/', '/bg/10/1/', '/bg/11/5/', '/sb/1/15/5/', '/bg/7/26/', '/bg/1/28/', '/sb/1/7/22/']","['/bg/2/2/', '/sb/12/9/2/', '/sb/9/4/63/', '/sb/10/4/46/', '/sb/11/27/6/', '/sb/8/12/38/', '/bg/15/1/', '/sb/11/22/29/', '/sb/10/70/46/', '/sb/10/73/18/']","['/sb/4/12/7/', '/sb/9/21/16/', '/sb/10/10/23/', '/bg/2/2/', '/sb/10/72/18/', '/sb/10/86/2-3/', '/sb/7/10/56/', '/sb/9/4/57-59/', '/sb/4/17/30/', '/sb/10/37/23/']"
['/bg/2/28/'],"['/bg/2/18/', '/bg/2/28/']","['/sb/10/29/29/', '/bg/9/10/', '/sb/10/13/47-48/', '/bg/8/18/', '/bg/7/6/', '/bg/8/20/', '/sb/11/19/28-32/', '/sb/10/82/16/', '/sb/11/14/9/', '/sb/10/75/33/']","['/bg/8/18/', '/bg/8/20/', '/sb/10/84/19/', '/sb/3/26/9/', '/sb/8/12/5/', '/sb/12/12/7/', '/sb/9/13/11/', '/sb/4/9/13/', '/sb/5/17/17/', '/sb/3/15/3/']","['/bg/2/28/', '/bg/8/18/', '/bg/8/20/', '/sb/3/26/9/', '/sb/12/4/22/', '/sb/12/12/7/', '/sb/9/13/11/', '/sb/12/11/5/', '/bg/7/6/', '/sb/12/11/13/']","['/bg/2/28/', '/sb/10/87/31/', '/bg/5/3/', '/sb/10/87/30/', '/sb/12/10/42/', '/bg/10/42/', '/sb/4/24/29/', '/sb/5/1/20/', '/sb/10/57/26/', '/sb/7/9/28/']"
['/bg/2/38/'],"['/sb/11/5/41/', '/bg/2/38/']","['/sb/6/12/14/', '/sb/7/3/11/', '/sb/11/23/54/', '/bg/17/13/', '/bg/18/36/', '/sb/6/2/38/', '/sb/11/28/33/', '/sb/10/54/12/', '/sb/6/3/16/', '/sb/6/17/30/']","['/bg/2/33/', '/sb/6/12/14/', '/bg/1/36/', '/sb/11/23/52/', '/sb/4/28/37/', '/sb/9/15/38/', '/sb/6/17/30/', '/sb/7/7/42/', '/sb/8/21/24/', '/sb/11/23/54/']","['/bg/2/38/', '/bg/2/33/', '/sb/6/17/30/', '/sb/9/15/38/', '/sb/7/2/54/', '/sb/10/44/10/', '/sb/12/3/7/', '/sb/6/12/14/', '/sb/11/23/56/', '/sb/5/10/25/']","['/sb/1/15/9/', '/sb/4/27/11/', '/bg/3/43/', '/sb/10/3/15-17/', '/sb/12/8/49/', '/sb/8/15/32/', '/sb/4/11/4/', '/sb/1/2/2/', '/sb/10/13/13/', '/sb/8/22/6-7/']"
['/bg/2/39/'],"['/bg/5/4/', '/bg/2/39/']","['/sb/11/7/10/', '/sb/9/1/2-3/', '/sb/3/12/1/', '/sb/12/9/4/', '/bg/11/3/', '/bg/12/12/', '/sb/6/1/33/', '/sb/11/11/49/', '/sb/11/3/46/', '/sb/3/9/31/']","['/bg/5/7/', '/bg/5/5/', '/sb/7/7/24/', '/sb/3/7/30/', '/sb/11/8/29/', '/bg/5/4/', '/sb/11/29/1/', '/sb/11/7/36/', '/sb/11/3/46/', '/sb/6/9/47/']","['/bg/2/39/', '/sb/8/5/1/', '/sb/11/29/1/', '/bg/10/1/', '/sb/3/25/14/', '/sb/3/26/2/', '/tlk/8', '/bg/18/63/', '/sb/6/14/9/', '/sb/11/29/24/']","['/bg/2/39/', '/bg/3/9/', '/sb/10/57/38-39/', '/sb/7/6/29-30/', '/sb/10/87/30/', '/sb/9/23/35-36/', '/sb/4/29/57/', '/sb/10/70/26/', '/sb/11/13/23/', '/sb/3/4/11/']"
['/bg/2/40/'],"['/sb/1/5/17/', '/sb/1/5/17/', '/bg/2/40/']","['/bg/8/20/', '/sb/6/1/17/', '/sb/10/24/3/', '/sb/5/14/38/', '/sb/2/5/2/', '/bg/5/23/', '/sb/4/5/8/', '/bg/10/7/', '/sb/10/4/26/', '/sb/10/72/32/']","['/sb/3/25/42/', '/sb/3/29/40/', '/sb/4/14/8/', '/sb/10/6/22-23/', '/sb/5/14/38/', '/sb/3/29/42/', '/sb/10/6/25-26/', '/sb/11/20/6/', '/sb/6/18/22/', '/sb/3/23/55/']","['/bg/2/40/', '/sb/12/12/61/', '/sb/10/16/53/', '/sb/11/29/20/', '/sb/5/14/38/', '/sb/6/8/29/', '/sb/8/20/10/', '/sb/7/3/8/', '/bg/11/52/', '/sb/10/17/24/']","['/bg/2/40/', '/sb/7/10/5/', '/sb/4/8/26/', '/sb/11/2/30/', '/sb/6/7/29-30/', '/sb/3/14/10/', '/sb/6/5/14/', '/sb/8/23/1/', '/sb/8/12/32/', '/sb/10/87/37/']"
['/bg/2/46/'],"['/sb/3/33/7/', '/bg/15/15/', '/bg/2/46/']","['/sb/2/7/12/', '/sb/3/6/37/', '/sb/8/5/49/', '/sb/6/18/58/', '/sb/4/17/34/', '/sb/1/3/16/', '/sb/10/72/13/', '/sb/4/21/12/', '/sb/2/2/26/', '/sb/2/6/43-45/']","['/sb/6/18/58/', '/sb/8/5/49/', '/sb/9/18/29/', '/sb/3/23/2/', '/sb/3/1/33/', '/sb/11/29/48/', '/sb/10/90/27/', '/bs/5/29', '/sb/3/23/1/', '/sb/3/2/3/']","['/bg/2/46/', '/sb/6/18/58/', '/sb/9/18/29/', '/sb/3/23/2/', '/bs/5/29', '/sb/1/3/16/', '/sb/3/6/37/', '/sb/3/2/3/', '/sb/11/26/14/', '/sb/6/18/15/']","['/bg/2/46/', '/sb/10/32/2/', '/sb/4/25/10/', '/sb/10/81/35/', '/bg/2/67/', '/sb/5/5/29/', '/sb/3/14/20/', '/sb/10/74/3/', '/sb/7/3/23/', '/sb/10/2/40/']"
['/bg/2/51/'],"['/sb/10/14/58/', '/bg/2/51/']","['/sb/11/3/37/', '/sb/11/3/33/', '/sb/1/3/1/', '/sb/5/17/3/', '/sb/1/14/35-36/', '/sb/4/17/34/', '/sb/10/72/13/', '/sb/5/14/1/', '/sb/7/8/35/', '/sb/4/22/4/']","['/sb/11/5/37/', '/bg/5/2/', '/sb/7/7/19-20/', '/sb/8/5/47/', '/sb/11/14/21/', '/sb/3/28/11/', '/bg/9/3/', '/bg/12/2/', '/sb/1/2/25/', '/sb/4/8/22/']","['/bg/2/51/', '/bg/9/3/', '/sb/1/2/25/', '/sb/8/5/47/', '/sb/6/17/31/', '/sb/11/5/37/', '/sb/10/73/15/', '/sb/11/5/45/', '/bg/3/9/', '/sb/11/27/53/']","['/sb/1/2/25/', '/sb/8/5/47/', '/sb/8/10/57/', '/sb/9/2/11-13/', '/sb/3/5/1/', '/sb/5/1/20/', '/sb/11/23/18-19/', '/sb/10/2/32/', '/sb/7/3/22/', '/sb/4/9/1/']"
['/bg/2/56/'],"['/bg/7/19/', '/bg/2/56/']","['/sb/11/19/40-45/', '/sb/11/17/56/', '/bg/6/36/', '/bg/8/9/', '/sb/11/19/28-32/', '/bg/13/18/', '/bg/5/7/', '/bg/12/18-19/', '/bg/8/20/', '/bg/12/15/']","['/sb/5/14/25/', '/bg/4/10/', '/sb/7/13/34/', '/sb/5/18/14/', '/sb/11/28/17/', '/sb/3/28/11/', '/bg/2/64/', '/bg/2/15/', '/sb/5/11/5/', '/sb/5/11/16/']","['/bg/2/56/', '/bg/2/15/', '/bg/12/15/', '/bg/3/6/', '/bg/2/48/', '/bg/2/66/', '/bg/4/22/', '/sb/4/29/14/', '/bg/12/13-14/', '/bg/18/51-53/']","['/bg/2/56/', '/bg/6/36/', '/sb/7/6/28/', '/bg/4/22/', '/sb/3/18/24/', '/bg/8/22/', '/sb/11/19/40-45/', '/bg/12/18-19/', '/sb/4/20/3/', '/sb/3/28/41/']"
