,0
/en/library/transcripts/660219bg-new-york/,"[['[Bg 4.1]', '[Bg 4.2]', '[Bg 4.3]', '[Bg 10.12]', '[Bg 10.13]', '[Bg 10.14]', '[Bg 10.14]', '[Bg 4.7]', '[Bg 9.10]', '[Bg 15.7]', '[Bg 7.5]', '[Bg 8.19]', '[Bg 7.5]', '[Bg 18.61]', '[Bg 15.15]', '[Bg 2.22]', '[Bg 9.10]', '[Bg 14.27]', '[Bg 7.24]', '[Bg 4.2]', '[Bg 10.8]', '[Bg 11.39]', '[Bg 18.73]', '[Bg 15.6]', '[Bg 8.20]', '[Bg 15.7]', '[Bg 18.66]', '[Bg 14.4]', '[Bg 7.20]', '[Bg 15.6]', '[Bg 9.11]', '[Bg 15.6]', '[Bg 8.16]', '[Bg 9.25]', '[Bg 15.1]', '[Bg 15.5]', '[Bg 15.5]', '[Bg 8.21]', '[Bg 8.20]', '[Bg 8.5]', '[Bg 2.18]', '[Bg 8.5]', '[Bg 8.5]', '[Bg 10.42]', '[Bg 8.5]', '[Bg 10.14]', '[Bg 8.6]', '[Bg 8.6]', '[Bg 8.6]', '[Bg 8.5]', '[Bg 8.7]', '[Bg 8.7]', '[Bg 8.7]', '[Bg 6.47]', '[Bg 8.7]', '[Bg 8.5]', '[Bg 8.7]', '[Bg 8.8]', '[Bg 8.8]', '[Bg 9.32]', '[Bg 9.33]', '[Bg 9.32]', '[Bg 18.66]', '[SB 1.3.28]', '[SB 10.84.13]', '[SB 2.10.6]', '[SB 4.31.14]', '[SB 7.5.23]']]"
/en/library/transcripts/660302bg-new-york/,"[['[Bg 2.7]', '[Bg 2.7]', '[Bg 2.7]', '[Bg 2.8]', '[Bg 2.9]', '[Bg 2.10]', '[Bg 2.9]', '[Bg 2.10]', '[Bg 2.11]', '[Bg 2.11]', '[SB 11.3.21]']]"
/en/library/transcripts/660304bg-new-york/,"[['[Bg 2.11]', '[Bg 8.6]', '[Bg 9.25]', '[Bg 2.11]', '[Bg 18.54]', '[SB 10.84.13]', '[SB 10.84.13]']]"
/en/library/transcripts/660307bg-new-york/,"[['[Bg 2.12]', '[Bg 18.66]']]"
/en/library/transcripts/660309bg-new-york/,"[['[Bg 4.2]', '[Bg 2.12]', '[Bg 4.11]', '[Bg 18.54]']]"
/en/library/transcripts/660311bg-new-york/,"[['[Bg 2.13]', '[Bg 2.13]', '[Bg 4.13]', '[Bg 2.13]', '[Bg 13.9]', '[Bg 18.66]', '[Bg 2.13]', '[Bg 2.13]', '[Bg 2.13]', '[Bg 2.24]', '[Bg 15.7]', '[Bg 2.13]', '[SB 7.5.5]', '[SB 7.5.5]', '[SB 7.5.5]']]"
/en/library/transcripts/660325bg-new-york/,"[['[Bg 2.44]', '[Bg 2.44]', '[Bg 2.45]', '[Bg 2.44]', '[Bg 2.44]', '[Bg 18.61]', '[Bg 5.29]']]"
/en/library/transcripts/660328bg-new-york/,"[['[Bg 2.17]', '[Bg 2.46]', '[Bg 2.47]', '[Bg 2.47]', '[Bg 4.13]', '[Bg 4.7]', '[Bg 10.12]', '[SB 7.5.23]']]"
/en/library/transcripts/660330pu-new-york/,"[['[Bg 18.61]', '[Bg 18.66]', '[Bg 12.5]']]"
/en/library/transcripts/660401bg-new-york/,"[['[Bg 2.48]', '[Bg 9.26]', '[Bg 9.49]', '[Bg 9.27]', '[Bg 2.49]', '[Bg 9.49]', '[Bg 2.49]', '[Bg 2.49]']]"
/en/library/transcripts/660405bg-new-york/,"[['[Bg 6.41]', '[Bg 15.15]', '[Bg 9.49]', '[Bg 6.41]', '[Bg 4.9]', '[Bg 4.9]', '[Bg 9.49]', '[Bg 2.50]', '[Bg 2.50]', '[SB 1.5.17]', '[SB 1.5.17]', '[SB 7.5.23]', '[SB 1.8.26]']]"
/en/library/transcripts/660408bg-new-york/,"[['[Bg 2.55]', '[Bg 2.20]', '[Bg 2.14]', '[Bg 2.55]', '[Bg 9.26]', '[Bg 18.73]', '[Bg 9.26]', '[Bg 2.51]', '[SB 1.2.13]']]"
/en/library/transcripts/660413bg-new-york/,"[['[Bg 2.55]', '[Bg 18.73]', '[Bg 2.56]', '[Bg 18.54]', '[Bg 2.22]', '[Bg 2.56]', '[Bg 2.56]', '[Bg 2.56]', '[Bg 2.57]', '[Bg 13.9]', '[Bg 2.20]', '[Bg 2.20]', '[Bg 9.57]', '[Bg 3.42]', '[Bg 2.58]', '[Bg 2.11]', '[SB 5.18.12]', '[SB 2.1.4]', '[SB 7.9.45]', '[SB 1.2.8]', '[SB 1.2.13]']]"
/en/library/transcripts/660415bg-new-york/,"[['[Bg 2.58]', '[Bg 4.7]', '[Bg 14.4]', '[Bg 2.58]', '[Bg 2.58]', '[Bg 18.73]', '[Bg 2.55]', '[Bg 3.9]', '[Bg 2.59]', '[Bg 2.59]', '[Bg 10.10]', '[Bg 18.61]', '[SB 1.2.7]', '[SB 1.2.7]', '[SB 1.2.7]']]"
/en/library/transcripts/660418bg-new-york/,"[['[Bg 2.59]', '[Bg 2.60]', '[Bg 2.61]', '[Bg 2.59]', '[Bg 2.59]', '[Bg 2.60]', '[Bg 2.61]', '[Bg 2.59]', '[Bg 2.61]', '[Bg 2.62]', '[Bg 2.63]', '[Bg 2.63]', '[Bg 2.64]', '[Bg 2.65]', '[Bg 2.66]', '[Bg 2.67]', '[Bg 2.68]', '[Bg 2.69]', '[SB 7.5.30]', '[SB 9.19.17]', '[SB 1.2.6]']]"
/en/library/transcripts/660520bg-new-york/,"[['[Bg 3.8]', '[Bg 3.9]', '[Bg 3.10]', '[Bg 3.10]', '[Bg 3.11]', '[Bg 18.66]', '[Bg 18.66]', '[Bg 18.66]', '[Bg 3.11]', '[Bg 3.11]', '[Bg 4.11]', '[Bg 3.12]', '[Bg 3.12]', '[Bg 3.13]', '[Bg 9.26]', '[Bg 9.26]', '[SB 11.5.41]', '[SB 11.5.41]', '[SB 11.5.41]', '[SB 11.5.32]', '[SB 1.1.10]', '[SB 1.1.10]', '[SB 1.1.10]', '[SB 11.5.32]']]"
/en/library/transcripts/660523bg-new-york/,"[['[Bg 3.13]', '[Bg 3.8]', '[Bg 3.27]', '[Bg 4.3]', '[Bg 9.10]', '[Bg 3.9]', '[Bg 3.13]', '[Bg 6.47]', '[Bg 3.13]', '[Bg 3.14]', '[Bg 3.14]', '[Bg 3.14]', '[Bg 3.15]', '[Bg 3.16]']]"
