,Shloka,Info1
0,bg/1/1/,"['(Glorification of the Gītā). There it says that one should read Bhagavad-gītā very scrutinizingly with the help of a person who is a devotee of Śrī Kṛṣṇa and try to understand it without personally motivated interpretations. The example of clear understanding is there in the Bhagavad-gītā itself, in the way the teaching is understood by Arjuna, who heard the Gītā directly from the Lord. If someone is fortunate enough to understand the Bhagavad-gītā in that line of disciplic succession, without motivated interpretation, then he surpasses all studies of Vedic wisdom, and all scriptures of the world. One will find in the Bhagavad-gītā all that is contained in other scriptures, but the reader will also find things which are not to be found elsewhere. That is the specific standard of the Gītā. It is the perfect theistic science because it is directly spoken by the Supreme Personality of Godhead, Lord Śrī Kṛṣṇa., The topics discussed by Dhṛtarāṣṭra and Sañjaya, as described in the Mahābhārata, form the basic principle for this great philosophy. It is understood that this philosophy evolved on the Battlefield of Kurukṣetra, which is a sacred place of pilgrimage from the immemorial time of the Vedic age. It was spoken by the Lord when He was present personally on this planet for the guidance of mankind., The word dharma-kṣetra (a place where religious rituals are performed)']"
1,bg/1/2/,['None']
2,bg/1/3/,['None']
3,bg/1/4/,['None']
4,bg/1/5/,['None']
5,bg/1/6/,['None']
6,bg/1/7/,['None']
7,bg/1/8/,['None']
8,bg/1/9/,['None']
9,bg/1/10/,['None']
10,bg/1/11/,['None']
11,bg/1/12/,['None']
12,bg/1/13/,['None']
13,bg/1/14/,['(the fire-god)']
14,bg/1/15/,['None']
15,bg/1/16-18/,['None']
16,bg/1/19/,['None']
17,bg/1/20/,['None']
18,bg/1/21-22/,['None']
19,bg/1/23/,['None']
20,bg/1/24/,['None']
21,bg/1/25/,['None']
22,bg/1/26/,['None']
23,bg/1/27/,['None']
24,bg/1/28/,['(Bhāg. 5.18.12)']
25,bg/1/29/,['None']
26,bg/1/30/,['(Bhāg. 11.2.37)']
27,bg/1/31/,['(or Kṛṣṇa)']
28,bg/1/32-35/,['None']
29,bg/1/36/,"['(1) a poison giver, (2) one who sets fire to the house, (3) one who attacks with deadly weapons, (4) one who plunders riches, (5) one who occupies another’s land, and (6) one who kidnaps a wife. Such aggressors are at once to be killed, and no sin is incurred by killing such aggressors. Such killing of aggressors is quite befitting any ordinary man, but Arjuna was not an ordinary person. He was saintly by character, and therefore he wanted to deal with them in saintliness. This kind of saintliness, however, is not for a kṣatriya. Although a responsible man in the administration of a state is required to be saintly, he should not be cowardly. For example, Lord Rāma was so saintly that people even now are anxious to live in the kingdom of Lord Rāma (rāma-rājya)']"
30,bg/1/37-38/,['None']
31,bg/1/39/,['None']
32,bg/1/40/,['None']
33,bg/1/41/,['(11.5.41)']
34,bg/1/42/,['None']
35,bg/1/43/,['None']
36,bg/1/44/,['None']
37,bg/1/45/,['None']
38,bg/1/46/,['None']
39,bg/2/1/,['None']
40,bg/2/2/,"['(1.2.11) this conception of the Absolute Truth is explained thus:, “The Absolute Truth is realized in three phases of understanding by the knower of the Absolute Truth, and all of them are identical. Such phases of the Absolute Truth are expressed as Brahman, Paramātmā and Bhagavān.”, These three divine aspects can be explained by the example of the sun, which also has three different aspects, namely the sunshine, the sun’s surface and the sun planet itself. One who studies the sunshine only is the preliminary student. One who understands the sun’s surface is further advanced. And one who can enter into the sun planet is the highest. Ordinary students who are satisfied by simply understanding the sunshine – its universal pervasiveness and the glaring effulgence of its impersonal nature – may be compared to those who can realize only the Brahman feature of the Absolute Truth. The student who has advanced still further can know the sun disc, which is compared to knowledge of the Paramātmā feature of the Absolute Truth. And the student who can enter into the heart of the sun planet is compared to those who realize the personal features of the Supreme Absolute Truth. Therefore, the bhaktas, or the transcendentalists who have realized the Bhagavān feature of the Absolute Truth, are the topmost transcendentalists, although all students who are engaged in the study of the Absolute Truth are engaged in the same subject matter. The sunshine, the sun disc and the inner affairs of the sun planet cannot be separated from one another, and yet the students of the three different phases are not in the same category., The Sanskrit word bhagavān is explained by the great authority Parāśara Muni, the father of Vyāsadeva. The Supreme Personality who possesses all riches, all strength, all fame, all beauty, all knowledge and all renunciation is called Bhagavān. There are many persons who are very rich, very powerful, very beautiful, very famous, very learned and very much detached, but no one can claim that he possesses all riches, all strength, etc., entirely. Only Kṛṣṇa can claim this because He is the Supreme Personality of Godhead. No living entity, including Brahmā, Lord Śiva or Nārāyaṇa, can possess opulences as fully as Kṛṣṇa. Therefore it is concluded in the Brahma-saṁhitā by Lord Brahmā himself that Lord Kṛṣṇa is the Supreme Personality of Godhead. No one is equal to or above Him. He is the primeval Lord, or Bhagavān, known as Govinda, and He is the supreme cause of all causes:, “There are many personalities possessing the qualities of Bhagavān, but Kṛṣṇa is the supreme because none can excel Him. He is the Supreme Person, and His body is eternal, full of knowledge and bliss. He is the primeval Lord Govinda and the cause of all causes.” (Brahma-saṁhitā 5.1), In the Bhāgavatam also there is a list of many incarnations of the Supreme Personality of Godhead, but Kṛṣṇa is described as the original Personality of Godhead, from whom many, many incarnations and Personalities of Godhead expand:, “All the lists of the incarnations of Godhead submitted herewith are either plenary expansions or parts of the plenary expansions of the Supreme Godhead, but Kṛṣṇa is the Supreme Personality of Godhead Himself.” (Bhāg. 1.3.28)']"
41,bg/2/3/,['None']
42,bg/2/4/,['None']
43,bg/2/5/,['None']
44,bg/2/6/,"['(and their cause was justified), still, if the sons of Dhṛtarāṣṭra died in battle, it would be very difficult to live in their absence. Under the circumstances, that would be another kind of defeat for them. All these considerations by Arjuna definitely proved that not only was he a great devotee of the Lord but he was also highly enlightened and had complete control over his mind and senses. His desire to live by begging, although he was born in the royal household, is another sign of detachment. He was truly virtuous, as these qualities, combined with his faith in the words of instruction of Śrī Kṛṣṇa (his spiritual master)']"
45,bg/2/7/,['(3.8.10)']
46,bg/2/8/,"['(Caitanya-caritāmṛta, Madhya 8.128) So without being a master in the science of Kṛṣṇa consciousness, no one is a bona fide spiritual master. It is also said in the Vedic literature:, “A scholarly brāhmaṇa, expert in all subjects of Vedic knowledge, is unfit to become a spiritual master without being a Vaiṣṇava, or expert in the science of Kṛṣṇa consciousness. But a person born in a family of a lower caste can become a spiritual master if he is a Vaiṣṇava, or Kṛṣṇa conscious.” (Padma Purāṇa)']"
47,bg/2/9/,['(paran-tapaḥ)']
48,bg/2/10/,['None']
49,bg/2/11/,['None']
50,bg/2/12/,['None']
